sequence,alpha=0.0,alpha=0.01,alpha=0.02,alpha=0.05,alpha=0.1,alpha=0.2,alpha=0.5,alpha=0.8,alpha=0.9,alpha=1.0
ball,1,1,1,1,1,1,1,2,3,3
basketball,0,0,0,0,0,2,3,5,3,4
bicycle,1,1,1,1,2,3,2,4,4,3
bolt,0,0,1,2,3,4,5,6,6,7
car,0,1,1,0,0,0,1,1,1,1
david,2,1,1,1,0,0,0,1,0,0
diving,0,0,0,1,0,0,0,0,0,0
drunk,1,1,1,1,0,0,0,0,0,0
fernando,1,2,2,2,2,2,2,3,3,3
fish1,1,4,4,4,5,3,5,6,6,6
fish2,1,1,2,3,3,3,3,3,3,3
gymnastics,0,0,0,0,0,0,0,0,0,0
hand1,2,2,2,2,2,3,2,4,4,2
hand2,5,4,4,5,4,5,6,2,2,4
jogging,1,2,2,2,2,2,2,2,2,2
motocross,3,3,3,2,3,3,3,3,3,3
polarbear,0,0,0,0,0,0,0,0,0,0
skating,1,3,1,0,0,0,2,2,2,4
sphere,0,0,0,0,0,0,0,0,0,0
sunshade,0,0,0,2,1,1,4,3,2,1
surfing,0,0,0,0,1,1,2,3,4,3
torus,1,2,3,3,0,1,1,0,1,2
trellis,1,3,3,1,1,2,3,3,5,4
tunnel,3,2,2,2,2,2,2,2,2,3
woman,1,1,1,2,3,4,4,5,6,5
sum,26,34,35,37,35,42,53,60,62,63
