q,failures,overlap,fps
0.1,62.0,0.47502285309111386,152.78110258167501
0.2,52.0,0.47606444357256256,153.17437184630813
0.3,49.0,0.4820260566417268,153.17018620248385
0.4,51.0,0.4883189825187392,154.3975564416556
0.5,49.0,0.4840463265437491,155.67972420351032
0.6,48.0,0.48741905514890155,155.40786422161872
0.7,49.0,0.4940696158289743,155.45054372898653
0.8,51.0,0.49389404084907446,156.18815502068998
0.9,51.0,0.4955966174507196,155.94330866488855
1.0,51.0,0.49387914377898684,154.99394064243225
1.1,46.0,0.4945992064423174,155.00243371927175
1.2,47.0,0.4949053597952131,156.14394125500866
1.3,50.0,0.4936588175908339,157.58373834685537
1.4,46.0,0.49452073626365656,159.75197687749989
1.5,51.0,0.4886886460503379,161.55054618640457
1.6,46.0,0.4923256106840988,160.07578421744086
1.7,47.0,0.4946139767870123,160.79934491140204
1.8,48.0,0.4932799083331665,162.18473517728654
1.9,47.0,0.4927533947056784,161.8205352088363
2.0,46.0,0.4948314914372904,160.49630286443352
